date,pollution,dew,temp,press,wnd_spd,snow,rain
2010-01-02,145.958,-8.500,-5.125,1024.750,24.860,0.708,0.000
2010-01-03,78.833,-10.125,-8.542,1022.792,70.938,14.167,0.000
2010-01-04,31.333,-20.875,-11.500,1029.292,111.161,0.000,0.000
2010-01-05,42.458,-24.583,-14.458,1033.625,56.920,0.000,0.000
2010-01-06,56.417,-23.708,-12.542,1033.750,18.512,0.000,0.000
2010-01-07,69.000,-21.250,-12.500,1034.083,10.170,0.000,0.000
2010-01-08,176.208,-17.125,-11.708,1028.000,1.973,0.000,0.000
2010-01-09,88.500,-16.333,-9.125,1029.042,13.299,0.000,0.000
2010-01-10,57.250,-15.958,-8.750,1032.500,17.416,0.000,0.000
2010-01-11,20.000,-20.708,-8.708,1034.333,41.686,0.000,0.000
2010-01-12,20.750,-23.542,-12.417,1030.708,60.378,0.000,0.000
2010-01-13,40.208,-21.958,-10.000,1030.458,169.754,0.000,0.000
2010-01-14,93.708,-17.625,-9.500,1025.208,13.239,0.000,0.000
2010-01-15,45.458,-17.167,-7.042,1036.833,12.382,0.000,0.000
2010-01-16,177.625,-13.500,-8.417,1033.042,2.678,0.000,0.000
2010-01-17,209.208,-12.083,-7.250,1028.833,4.135,0.000,0.000
2010-01-18,260.208,-9.667,-4.917,1026.750,4.916,0.000,0.000
2010-01-19,340.750,-3.792,0.292,1020.667,4.788,0.000,0.000
2010-01-20,85.333,-11.042,-1.167,1030.208,34.481,0.000,0.000
2010-01-21,27.042,-21.167,-6.125,1036.375,59.071,0.000,0.000
2010-01-22,29.417,-18.792,-4.583,1034.375,93.062,0.000,0.000
2010-01-23,16.417,-17.708,-1.917,1028.000,43.892,0.000,0.000
2010-01-26,97.792,-15.375,-5.667,1024.708,3.147,0.000,0.000
2010-01-27,122.333,-11.708,1.125,1016.208,24.707,0.000,0.000
2010-01-28,21.167,-19.125,-1.208,1026.167,41.273,0.000,0.000
2010-01-29,23.875,-21.625,0.625,1022.833,44.328,0.000,0.000
2010-01-30,44.292,-18.708,1.958,1019.542,40.016,0.000,0.000
2010-01-31,39.250,-15.792,1.333,1024.208,62.510,0.000,0.000
2010-02-01,64.792,-10.083,-2.875,1026.750,13.038,0.000,0.000
2010-02-02,65.625,-16.292,-5.417,1028.292,5.960,0.000,0.000
2010-02-03,77.542,-19.958,-5.167,1028.500,14.918,0.000,0.000
2010-02-04,58.500,-20.500,-5.042,1026.792,5.606,0.000,0.000
2010-02-05,78.458,-14.333,-4.083,1029.833,4.732,0.000,0.000
2010-02-06,76.125,-10.458,-5.000,1030.542,22.819,0.667,0.000
2010-02-07,109.167,-6.500,-4.333,1022.667,5.771,1.708,0.000
2010-02-08,178.083,-5.250,-1.542,1019.208,3.258,0.000,0.000
2010-02-09,157.250,-9.833,0.042,1023.792,3.295,0.000,0.000
2010-02-10,12.417,-22.292,-1.583,1030.958,40.358,0.000,0.000
2010-02-11,14.333,-22.125,-3.667,1035.708,27.060,0.000,0.000
2010-02-12,23.083,-21.542,-5.208,1034.917,6.853,0.000,0.000
2010-02-13,78.083,-17.833,-4.583,1028.792,8.958,0.000,0.000
2010-02-14,99.083,-20.000,-4.208,1032.542,9.108,0.000,0.000
2010-02-15,30.000,-22.292,-5.542,1035.125,5.977,0.000,0.000
2010-02-16,93.583,-16.958,-5.375,1030.208,7.503,0.000,0.000
2010-02-17,67.292,-19.083,-2.292,1026.250,43.657,0.000,0.000
2010-02-18,79.667,-19.000,-2.042,1023.708,4.616,0.000,0.000
2010-02-19,112.958,-15.583,0.083,1016.625,3.737,0.000,0.000
2010-02-20,178.500,-10.292,0.875,1012.708,3.649,0.000,0.000
2010-02-21,125.750,-9.708,4.208,1013.292,14.585,0.000,0.000
2010-02-22,94.500,-7.792,0.083,1018.583,20.101,0.000,0.000
2010-02-23,166.500,-6.542,0.083,1007.333,1.655,0.000,0.000
2010-02-24,277.708,-2.500,4.375,1004.208,9.555,0.000,0.000
2010-02-25,169.625,-1.333,3.917,1015.625,21.903,0.000,0.000
2010-02-26,69.875,-6.792,1.833,1020.875,35.404,0.000,0.000
2010-02-27,76.417,-6.375,-1.250,1019.500,18.317,0.458,0.000
2010-02-28,83.583,-7.125,-0.125,1022.417,14.675,0.875,0.000
2010-03-01,57.917,-5.042,-2.542,1022.833,42.013,1.208,0.000
2010-03-02,90.083,-8.458,1.625,1021.167,23.549,0.000,0.000
2010-03-03,157.875,-6.208,1.667,1022.875,7.115,0.000,0.000
2010-03-04,186.083,-3.458,2.417,1015.500,7.937,0.000,0.042
2010-03-05,31.333,-20.333,0.542,1026.958,50.306,0.000,0.000
2010-03-06,50.042,-17.333,-2.000,1033.667,31.553,0.000,0.000
2010-03-07,87.250,-10.250,-2.458,1035.250,11.643,0.042,0.000
2010-03-08,48.333,-6.875,-3.333,1039.500,14.107,2.750,0.000
2010-03-09,18.000,-17.958,-3.375,1035.375,97.551,0.000,0.000
2010-03-10,59.583,-13.708,0.750,1021.375,11.470,0.000,0.000
2010-03-11,171.625,-7.792,2.208,1009.417,4.487,0.000,0.000
2010-03-12,49.208,-14.292,5.542,1017.417,26.338,0.000,0.000
2010-03-13,62.125,-9.750,2.875,1026.375,21.708,0.000,0.000
2010-03-14,83.875,-3.542,0.250,1020.917,10.340,3.375,0.250
2010-03-15,64.500,-9.750,1.583,1023.208,61.103,0.000,0.000
2010-03-16,64.250,-10.792,0.500,1023.208,4.043,0.000,0.000
2010-03-17,40.792,-12.833,3.000,1026.333,16.018,0.000,0.000
2010-03-18,157.667,-3.292,0.583,1020.042,4.841,0.042,0.000
2010-03-19,228.417,1.792,4.375,1003.500,3.032,0.000,0.250
2010-03-20,154.167,-6.917,6.958,1008.375,83.049,0.000,0.000
2010-03-21,68.917,-8.042,7.458,1013.750,18.905,0.000,0.000
2010-03-22,156.167,-8.000,8.625,1014.042,35.660,0.000,0.000
2010-03-23,52.125,-7.750,7.625,1020.958,28.826,0.000,0.000
2010-03-24,62.833,-6.542,6.750,1022.333,20.000,0.000,0.250
2010-03-25,30.417,-11.000,4.375,1026.042,13.762,0.000,0.000
2010-03-26,67.708,-10.750,6.500,1019.042,9.480,0.000,0.000
2010-03-27,72.333,-8.542,5.875,1025.250,16.485,0.000,0.000
2010-03-28,71.792,-7.167,6.542,1026.458,14.475,0.000,0.000
2010-03-29,213.708,-0.208,7.542,1023.458,11.344,0.000,0.458
2010-03-30,74.917,6.500,8.500,1017.125,9.687,0.000,5.083
2010-03-31,45.833,1.667,11.125,1014.417,10.893,0.000,0.042
2010-04-01,25.708,-16.667,8.667,1020.125,123.897,0.000,0.000
2010-04-02,30.750,-15.250,6.542,1020.375,38.605,0.000,0.000
2010-04-03,101.208,-7.417,7.917,1016.917,21.942,0.000,0.000
2010-04-04,123.500,-4.792,13.833,1009.625,7.190,0.000,0.000
2010-04-05,135.083,1.708,10.917,1014.000,10.469,0.000,0.125
2010-04-06,20.375,-12.292,10.500,1025.333,17.059,0.000,0.000
2010-04-07,92.875,-5.917,11.917,1020.042,26.170,0.000,0.000
2010-04-08,106.000,0.875,14.583,1008.250,109.498,0.000,0.000
2010-04-09,85.917,2.250,11.167,1011.458,19.204,0.000,0.000
2010-04-10,36.208,-8.417,10.583,1017.625,17.637,0.000,0.000
2010-04-11,68.750,0.250,6.250,1017.000,49.277,0.000,0.875
2010-04-12,47.792,-6.208,7.083,1018.000,60.057,0.000,0.042
2010-04-13,20.125,-16.708,6.375,1026.792,174.661,0.000,0.000
2010-04-14,56.792,-9.750,7.167,1026.333,8.606,0.000,0.000
2010-04-15,171.083,0.708,6.083,1020.583,51.539,0.000,0.000
2010-04-16,211.000,2.750,8.583,1018.167,16.405,0.000,0.000
2010-04-17,147.583,3.375,8.583,1021.417,72.469,0.000,0.000
2010-04-18,232.625,6.458,13.542,1012.917,3.204,0.000,0.000
2010-04-19,211.125,7.958,14.208,1014.208,16.446,0.000,0.250
2010-04-20,82.833,4.000,13.875,1019.083,7.431,0.000,0.000
2010-04-21,39.583,2.208,12.042,1022.208,14.712,0.000,0.500
2010-04-22,39.417,5.333,9.458,1020.958,13.338,0.000,5.125
2010-04-23,33.167,-4.042,13.208,1020.333,10.785,0.000,0.000
2010-04-24,86.542,1.333,16.792,1016.333,36.405,0.000,0.000
2010-04-25,87.500,6.542,13.833,1014.583,83.172,0.000,0.625
2010-04-26,13.375,-5.458,8.875,1013.542,24.720,0.000,0.042
2010-04-27,24.667,-10.708,8.708,1009.292,138.905,0.000,0.000
2010-04-28,16.375,-9.583,10.500,1012.583,319.027,0.000,0.000
2010-04-29,18.667,-6.750,14.042,1013.208,90.690,0.000,0.000
2010-04-30,27.583,-5.708,18.375,1013.792,164.906,0.000,0.000
2010-05-01,69.375,-0.083,20.833,1006.083,17.110,0.000,0.000
